"","PlantNumber","Taxon","Vernacular","ProvenanceType","DonorInstitute","PrincipalCollector","BgLocation","GardenGrid","GardenSubGrid","CommemorationText","Date","Direction","Percent.Buds","Percent.Flowers","Percent.Fruit","Phenophase"
"253","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",0,0,0,NA
"254","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",24,76,0,5
"255","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",69,31,0,3
"256","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",88,12,0,2
"257","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",7,93,0,5
"258","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",0,0,100,9
"259","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"East",61,39,0,3
"260","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",0,93,7,5
"261","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",0,0,0,NA
"262","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",0,0,0,NA
"263","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",80,20,0,2
"264","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",27,70,3,5
"265","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",38,62,0,5
"266","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",0,0,0,NA
"267","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",0,0,0,NA
"268","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",43,57,0,3
"269","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",19,81,0,5
"270","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",10,88,2,5
"271","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",0,0,100,9
"272","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"South",19,81,0,5
"273","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",0,0,0,NA
"274","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",0,100,0,5
"275","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",0,100,0,5
"276","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",38,59,3,5
"277","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",5,95,0,5
"278","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",62,38,0,3
"279","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",0,0,0,NA
"280","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",0,0,0,NA
"281","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",58,42,0,3
"282","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",59,41,0,3
"283","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",24,70,6,5
"284","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",0,0,100,9
"285","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46202,"West",59,41,0,3
"286","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",0,0,0,NA
"287","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",0,0,0,NA
"288","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",0,0,0,NA
"289","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",11,84,5,5
"290","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",20,33,47,6
"291","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",11,89,0,5
"292","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",0,0,0,NA
"293","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",0,50,50,6
"294","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",25,41,34,6
"295","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",26,74,0,5
"296","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",0,20,80,7
"297","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",0,0,10000,9
"298","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"North",15,83,2,5
"299","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",0,7,93,8
"300","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",0,43,57,6
"301","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",14,14,72,7
"302","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",3,72,25,5
"303","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",16,36,48,6
"304","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",100,0,0,1
"305","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",0,0,0,NA
"306","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",1,45,54,6
"307","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",38,51,11,5
"308","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",93,7,0,2
"309","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",100,0,0,1
"310","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",0,0,100,9
"311","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"East",10,78,12,5
"312","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",0,13,87,8
"313","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",0,0,0,NA
"314","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",0,0,100,9
"315","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",13,79,8,5
"316","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",12,28,60,6
"317","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",14,86,0,5
"318","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",0,0,0,NA
"319","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",0,0,0,NA
"320","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",9,69,22,5
"321","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",7,84,9,5
"322","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",0,7,93,8
"323","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",0,0,100,9
"324","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"South",5,65,30,5
"325","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",0,0,0,NA
"326","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",0,50,50,6
"327","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",0,18,82,8
"328","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",3,72,25,5
"329","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",1,13,86,8
"330","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",14,86,0,5
"331","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",0,0,0,NA
"332","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",0,0,0,NA
"333","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",18,66,16,5
"334","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",3,84,13,5
"335","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",0,3,97,9
"336","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",0,0,100,9
"337","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46205,"West",8,65,27,5
"338","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",0,0,0,NA
"339","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",0,0,0,NA
"340","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",0,0,0,NA
"341","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",0,18,82,8
"342","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",0,27,73,7
"343","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",9,51,40,6
"344","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",0,0,0,NA
"345","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",0,0,0,NA
"346","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",4,45,51,6
"347","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",7,14,79,7
"348","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",0,9,91,8
"349","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"North",0,0,100,9
"350","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",0,10,90,8
"351","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",0,0,100,9
"352","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",0,0,100,9
"353","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",0,0,100,9
"354","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",0,11,89,8
"355","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",2,9,89,8
"356","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",7,26,67,7
"357","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",0,0,0,NA
"358","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",1,5,94,8
"359","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",18,38,44,6
"360","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",0,14,86,8
"361","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",0,1,99,9
"362","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",0,0,100,9
"363","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"East",0,18,82,8
"364","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",0,0,100,9
"365","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",0,0,0,NA
"366","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",0,0,100,9
"367","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",2,60,38,6
"368","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",2,8,90,8
"369","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",13,18,69,7
"370","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",0,0,0,NA
"371","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",0,0,0,NA
"372","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",7,13,80,7
"373","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",0,15,85,8
"374","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",0,2,98,9
"375","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",0,0,100,9
"376","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"South",1,15,84,8
"377","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",0,0,100,9
"378","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",0,0,100,9
"379","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",0,0,100,9
"380","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",0,25,75,7
"381","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",2,3,95,9
"382","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",15,55,30,5
"383","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",0,0,0,NA
"384","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",0,0,0,NA
"385","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",24,31,45,6
"386","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",11,7,82,8
"387","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",0,6,94,8
"388","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",0,0,100,9
"389","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46209,"West",6,29,65,7
"390","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,0,100,9
"391","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,0,100,9
"392","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,0,100,9
"393","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,11,89,8
"394","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,4,96,9
"395","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",2,22,76,7
"396","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,0,0,NA
"397","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,0,0,NA
"398","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,17,83,8
"399","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,1,99,9
"400","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",1,1,98,9
"401","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,0,100,9
"402","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"North",0,0,100,9
"403","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,0,100,9
"404","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,0,100,9
"405","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,0,100,9
"406","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,0,100,9
"407","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",2,4,94,8
"408","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,32,68,7
"409","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,0,0,NA
"410","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,0,100,9
"411","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",2,8,90,8
"412","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,0,100,9
"413","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,0,100,9
"414","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,0,100,9
"415","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"East",0,2,98,9
"416","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,0,100,9
"417","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,0,100,9
"418","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,0,100,9
"419","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,0,100,9
"420","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",2,5,93,8
"421","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,23,77,7
"422","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,0,0,NA
"423","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,0,100,9
"424","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,7,93,8
"425","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,0,100,9
"426","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,0,100,9
"427","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,0,100,9
"428","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"South",0,11,89,8
"429","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,0,100,9
"430","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,0,100,9
"431","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,0,100,9
"432","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,0,100,9
"433","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,0,100,9
"434","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,32,68,7
"435","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,0,0,NA
"436","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,0,0,NA
"437","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,0,100,9
"438","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",4,11,85,8
"439","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,0,100,9
"440","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,0,100,9
"441","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46213,"West",0,11,89,8
