"","PlantNumber","Taxon","Vernacular","ProvenanceType","DonorInstitute","PrincipalCollector","BgLocation","GardenGrid","GardenSubGrid","CommemorationText","Date","Direction","Percent.Buds","Percent.Flowers","Percent.Fruit","Phenophase"
"53","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",0,0,0,NA
"54","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",0,0,0,NA
"55","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",100,0,0,1
"56","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",100,0,0,1
"57","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",100,0,0,1
"58","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",0,0,0,NA
"59","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",100,0,0,1
"60","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",100,0,0,1
"61","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",100,0,0,1
"62","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",100,0,0,1
"63","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",19,81,0,5
"64","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"South",100,0,0,1
"65","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",0,0,0,NA
"66","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",0,0,0,NA
"67","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",0,0,0,NA
"68","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",100,0,0,1
"69","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",100,0,0,1
"70","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",100,0,0,1
"71","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",0,0,0,NA
"72","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",0,0,0,NA
"73","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",0,0,0,NA
"74","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",0,0,0,NA
"75","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",0,0,0,NA
"76","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",38,60,2,5
"77","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46188,"West",100,0,0,1
"78","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",0,0,0,NA
"79","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",0,0,0,NA
"80","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",0,0,0,NA
"81","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",100,0,0,1
"82","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",98,2,0,1
"83","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",100,0,0,1
"84","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",0,0,0,NA
"85","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",96,4,0,1
"86","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",100,0,0,1
"87","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",100,0,0,1
"88","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",100,0,0,1
"89","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",5,66,29,5
"90","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"North",100,0,0,1
"91","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",95,5,0,2
"92","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",0,0,0,NA
"93","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",0,0,0,NA
"94","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",100,0,0,1
"95","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",98,2,0,1
"96","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",100,0,0,1
"97","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",0,0,0,NA
"98","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",100,0,0,1
"99","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",100,0,0,1
"100","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",100,0,0,1
"101","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",100,0,0,1
"102","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",77,23,0,2
"103","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"East",100,0,0,1
"104","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",100,0,0,1
"105","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",0,0,0,NA
"106","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",53,47,0,3
"107","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",100,0,0,1
"108","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",100,0,0,1
"109","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",100,0,0,1
"110","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",0,0,0,NA
"111","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",100,0,0,1
"112","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",100,0,0,1
"113","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",100,0,0,1
"114","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",100,0,0,1
"115","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",15,85,0,5
"116","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"South",100,0,0,1
"117","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",0,0,0,NA
"118","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",0,0,0,NA
"119","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",65,35,0,3
"120","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",100,0,0,1
"121","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",100,0,0,1
"122","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",100,0,0,1
"123","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",0,0,0,NA
"124","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",0,0,0,NA
"125","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",100,0,0,1
"126","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",100,0,0,1
"127","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",100,0,0,1
"128","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",8,70,22,5
"129","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46191,"West",100,0,0,1
"130","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",0,0,0,NA
"131","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",0,0,0,NA
"132","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",0,0,0,NA
"133","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",99,1,0,1
"134","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",83,17,0,2
"135","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",100,0,0,1
"136","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",0,0,0,NA
"137","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",0,0,0,NA
"138","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",100,0,0,1
"139","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",93,7,0,2
"140","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",62,38,0,3
"141","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",0,8,92,8
"142","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"North",79,21,0,2
"143","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",71,29,0,2
"144","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",0,0,0,NA
"145","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",0,0,0,NA
"146","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",100,0,0,1
"147","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",90,8,2,2
"148","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",98,2,0,1
"149","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",0,0,0,NA
"150","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",100,0,0,1
"151","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",100,0,0,1
"152","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",100,0,0,1
"153","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"East",79,21,0,2
