"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","FamilyName","CalcFullName","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit","doy","Phenophase"
"135771",135771,"0043145MOR","Cercis canadensis var. texensis (S.Watson) M.Hopkins","Maggerise, J","7802V97",21,5,1997,"Fabaceae","Cercis canadensis var. texensis (S.Watson) M.Hopkins","Pinaceae Collection, Larix section; K-54/18-32","Yes",5,19,0,NA,20.8333333333333,79.1666666666667,0,141,NA
"154147",154147,"0043152MOR","Cercis canadensis var. texensis (S.Watson) M.Hopkins","Packard, S","9285V01",17,7,2001,"Fabaceae","Cercis canadensis var. texensis (S.Watson) M.Hopkins","Hatchmeadow, CC-43/73-05","Yes",0,0,4,NA,0,0,100,198,9
"13952",13952,"0043165MOR","Cercis chinensis Bunge","Braham, R","s.n.",18,5,1971,"Fabaceae","Cercis chinensis Bunge","Drainage, D-45/25-65","Yes",3,98,0,NA,2.97029702970297,97.029702970297,0,138,5
"13953",13953,"0043164MOR","Cercis chinensis Bunge","Braham, R","s.n.",28,7,1971,"Fabaceae","Cercis chinensis Bunge","Drainage, D-45/25-65","Yes",0,0,30,NA,0,0,100,209,9
"75870",75870,"0043167MOR","Cercis chinensis Bunge","Packard, S","1380V87",14,7,1987,"Fabaceae","Cercis chinensis Bunge","Sand Beds, bed 3; D-45/28-69","Yes",0,0,29,NA,0,0,100,195,9
"97411",97411,"0043158MOR","Cercis chinensis Bunge","Gavlak, N","4371V91",15,4,1991,"Fabaceae","Cercis chinensis Bunge","Plants for Sandy Soils, D-45/28-69","Yes",165,0,0,NA,100,0,0,105,1
"97931",97931,"0043157MOR","Cercis chinensis Bunge","Hess, WJ","4464V91",9,5,1991,"Fabaceae","Cercis chinensis Bunge","Diversity Collection, P-58/25-55","Yes",0,28,0,NA,0,100,0,129,5
"113047",113047,"0043159MOR","Cercis chinensis Bunge","Altvatter, K","5953V93",7,7,1993,"Fabaceae","Cercis chinensis Bunge","Diversity Collection, P-58/30-45","Yes",0,0,20,NA,0,0,100,188,9
"113773",113773,"0043168MOR","Cercis chinensis Bunge","Packard, S","6039V93",20,7,1993,"Fabaceae","Cercis chinensis Bunge","Leguminosae Collection, P-59/17-53","Yes",0,0,15,NA,0,0,100,201,9
"112989",112989,"0043160MOR","Cercis chinensis Bunge","Altvatter, K","5952V93",7,7,1993,"Fabaceae","Cercis chinensis Bunge","Diversity Collection, P-58/25-55","Yes",0,0,4,NA,0,0,100,188,9
"13959",13959,"0043163MOR","Cercis siliquastrum L.","Schulenberg, RF","s.n.",14,5,1975,"Fabaceae","Cercis siliquastrum L.","Between greenhouses","Yes",1,10,0,NA,9.09090909090909,90.9090909090909,0,134,5
