"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit"
"187162","187162","0098306MOR","Acer rubrum var. drummondii (Hook. & Arn. ex Nutt.) Sarg.","Worcester, L","LW349",30,8,2018,"Entrance Drive: Q-42/88-33","Yes",0,0,0,NA,NA,NA,NA
"189533","189533","0101095MOR","Acer rubrum var. drummondii (Hook. & Arn. ex Nutt.) Sarg.","Potenberg, K","17177v22",26,5,2022,"Acer: S-101/43-98","Yes",0,0,0,NA,NA,NA,NA
"29","29",NA,"Acer rufinerve Siebold & Zucc.","Morrison, K","57",5,7,2019,"Acer: T-99/57-30","Yes",0,0,0,NA,NA,NA,NA
"189612","189612","0100848MOR","Acer rufinerve Siebold & Zucc.","Potenberg, K","17282v22",28,7,2022,"Japan: U-58/24-86","Yes",0,0,0,NA,NA,NA,NA
"80883","80883","0039785MOR","Acer saccharinum 'Aureum'","Hess, WJ","2195V88",24,8,1988,"Acer Collection, O-96/25-50.","Yes",0,0,0,NA,NA,NA,NA
"30","30",NA,"Acer saccharinum 'Aureum'","Morrison, K","26",2,7,2019,"Acer: O-96/45-90","Yes",0,0,0,NA,NA,NA,NA
"31","31",NA,"Acer saccharinum 'Beebe Cutleaf Weeping'","Morrison, K","27",2,7,2019,"Acer: O-97/80-10","Yes",0,0,0,NA,NA,NA,NA
"194661","194661","0109306MOR","Acer saccharinum 'JFS H1'","Chen, S","18821v25",8,5,2025,"Acer: S-102/57-51","Yes",0,0,0,NA,NA,NA,NA
"606","606","0039791MOR","Acer saccharinum 'Laciniatum'","Kammerer, E","s.n.",2,7,1936,NA,"Yes",0,0,0,NA,NA,NA,NA
"605","605","0039792MOR","Acer saccharinum 'Laciniatum'","Hawkinson, L","s.n.",26,9,1940,"18-6","Yes",0,0,0,NA,NA,NA,NA
"193594","193594","0108136MOR","Acer saccharinum 'Laciniatum'","Potenberg, K","18625v24",17,10,2024,"China: Landscape Planting: V-61/01-31","Yes",0,0,0,NA,NA,NA,NA
"608","608","0039838MOR","Acer saccharinum 'Pyramidale'","Lesica, P","s.n.",24,7,1972,"Columnar Trees, G-65/1-0.5","Yes",0,0,0,NA,NA,NA,NA
"610","610","0039894MOR","Acer saccharinum 'Tripartitum'","Hawkinson, L","s.n.",9,10,1940,NA,"Yes",0,0,0,NA,NA,NA,NA
"581","581","0039842MOR","Acer saccharinum L.","Hawkinson, L","s.n.",26,9,1940,NA,"Yes",0,0,0,NA,NA,NA,NA
"582","582","0039846MOR","Acer saccharinum L.","Hawkinson, L","s.n.",9,10,1940,"Acer Collection, P-68/30-75","Yes",0,0,0,NA,NA,NA,NA
"580","580","0039858MOR","Acer saccharinum L.","Ciolac, C","s.n.",16,1,1973,"Acer Collection, S-100/45-90","Yes",0,0,0,NA,NA,NA,NA
"74941","74941","0039857MOR","Acer saccharinum L.","Bucha, L","1624V87",13,10,1987,"Acer Collection, O-97/55-60","Yes",0,0,0,NA,NA,NA,NA
"104055","104055","0039848MOR","Acer saccharinum L.","Hess, WJ","5034V92",13,5,1992,"Acer Collection, S-100/55-20","Yes",0,0,0,NA,NA,NA,NA
"127849","127849","0039860MOR","Acer saccharinum L.","Altvatter, K","7167V95",21,6,1995,"Northern Illinois Collection, M-59/99-93","Yes",0,0,0,NA,NA,NA,NA
"143122","143122","0039779MOR","Acer saccharinum L.","DeMink, L","s.n.",7,8,1998,"Near Sand Beds, B-45/Area.","Yes",0,0,0,NA,NA,NA,NA
"187862","187862","0099257MOR","Acer saccharinum L.","Worcester, L","LW312",9,8,2018,"Midwest: O-67/85-94","Yes",0,0,0,NA,NA,NA,NA
"632","632","0039900MOR","Acer saccharum 'Coleman'","Allen, L","s.n.",24,7,1973,"Columnar Trees Coll., G-65/65-95.","Yes",0,0,0,NA,NA,NA,NA
"104067","104067","0039893MOR","Acer saccharum 'Coleman'","Hess, WJ","5046V92",13,5,1992,"Acer Collection, S-101/55-45.","Yes",0,0,0,NA,NA,NA,NA
"189642","189642","0100746MOR","Acer saccharum 'Conicum'","Potenberg, K","17388v22",8,9,2022,"Acer: O-103/97-15","Yes",0,0,0,NA,NA,NA,NA
"654","654","0039892MOR","Acer saccharum 'Globosum'","Read, RW","s.n.",14,10,1971,"Acer Collection, O-101/65-2.","Yes",0,0,0,NA,NA,NA,NA
"104580","104580","0039905MOR","Acer saccharum 'Sweet Shadow Cut-Leaf'","Hess, WJ","5205V92",17,6,1992,"Parking Lot #2, M-56/Area.","Yes",0,0,0,NA,NA,NA,NA
"195212","195212","0112654MOR","Acer saccharum 'Sweet Shadow Cut-Leaf'","Chen, S","18929v25",7,8,2025,"Acer: R-102/70-40","Yes",0,0,0,NA,NA,NA,NA
"104131","104131","0039903MOR","Acer saccharum 'Temples Upright'","Hess, WJ","5050V92",13,5,1992,"Acer Collection, Q-101/80-90.","Yes",0,0,0,NA,NA,NA,NA
"104133","104133","0039904MOR","Acer saccharum 'Temples Upright'","Hess, WJ","5051V92",13,5,1992,"Acer Collection, Q-101/70-60.","Yes",0,0,0,NA,NA,NA,NA
"187897","187897","0099233MOR","Acer saccharum f. conicum Fernald","Worcester, L","LW345",28,8,2018,"Acer: O-103/97-15","Yes",0,0,0,NA,NA,NA,NA
"187886","187886","0099224MOR","Acer saccharum f. rugelii (Pax) E.J.Palmer & Steyerm.","Worcester, L","LW335",23,8,2018,"Acer: R-101/72-73","Yes",0,0,0,NA,NA,NA,NA
"614","614","0039863MOR","Acer saccharum Marshall","Kammerer, E","s.n.",15,10,1936,"Hemlock Plot","Yes",0,0,0,NA,NA,NA,NA
"73910","73910","0039887MOR","Acer saccharum Marshall","Podrasky, N","1437V87",25,7,1987,"Ground Cover Collection, J-46/90-65","Yes",0,0,0,NA,NA,NA,NA
"104497","104497","0039868MOR","Acer saccharum Marshall","Altvatter, K","5184V92",9,6,1992,"Appalachia Collection, AA-74/49-05","Yes",0,0,0,NA,NA,NA,NA
"127618","127618","0039884MOR","Acer saccharum Marshall","Altvatter, K","7156V95",21,6,1995,"Aceraceae Collection, W-62/95-64","Yes",0,0,0,NA,NA,NA,NA
"194981","194981","0112580MOR","Acer saccharum Marshall","Chen, S","18882v25",10,7,2025,"Sterling Pond: O-2/99-12","Yes",0,0,0,NA,NA,NA,NA
"46","46",NA,"Acer saccharum Marshall","Hartmann, K","19152v26",19,5,2026,"x-61/06-55","Yes",0,0,0,NA,NA,NA,NA
"161","161","0039899MOR","Acer saccharum subsp. grandidentatum (Nutt. ex Torr. & A.Gray) Desmarais","Schulenberg, RF","s.n.",29,5,1975,"Illinois Trees Trail, T-51/15-75.","Yes",0,0,0,NA,NA,NA,NA
"127778","127778","0039890MOR","Acer saccharum subsp. grandidentatum (Nutt. ex Torr. & A.Gray) Desmarais","Altvatter, K","7173V95",21,6,1995,"Aceraceae Collection, X-61/45-04.","Yes",0,0,0,NA,NA,NA,NA
"135417","135417","0039897MOR","Acer saccharum subsp. grandidentatum (Nutt. ex Torr. & A.Gray) Desmarais","Wiegrefe, S","327",21,5,1997,"Acer Collection, X-61/45-04.","Yes",0,0,0,NA,NA,NA,NA
"189","189","0040004MOR","Acer saccharum subsp. leucoderme (Small) Desmarais","Lesica, P","s.n.",13,6,1972,"Acer Collection, T-101/65-75.","Yes",0,0,0,NA,NA,NA,NA
"127839","127839","0040003MOR","Acer saccharum subsp. leucoderme (Small) Desmarais","Altvatter, K","7157V95",21,6,1995,"Aceraceae Collection, W-63/18-42.","Yes",0,0,0,NA,NA,NA,NA
"135414","135414","0040002MOR","Acer saccharum subsp. leucoderme (Small) Desmarais","Wiegrefe, S","330",21,5,1997,"Acer Collection, W-63/18-42.","Yes",0,0,0,NA,NA,NA,NA
"314","314","0040008MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Swink, FA","s.n.",10,8,1964,"Acer Collection, R-100/50-95.","Yes",0,0,0,NA,NA,NA,NA
"315","315","0040010MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Ciolac, C","s.n.",16,1,1973,"Acer Collection, R-102/95-20.","Yes",0,0,0,NA,NA,NA,NA
"127847","127847","0040015MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Altvatter, K","7165V95",21,6,1995,"Aceraceae Collection, K-59/56-43.","Yes",0,0,0,NA,NA,NA,NA
"135527","135527","0040006MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Wiegrefe, S","335",23,5,1997,"Northern IL Collection, S section, K-59/56-43.","Yes",0,0,0,NA,NA,NA,NA
"187901","187901","0099229MOR","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Worcester, L","LW341",28,8,2018,"Acer: U-103/64-39","Yes",0,0,0,NA,NA,NA,NA
"104049","104049","0040022MOR","Acer saccharum subsp. schneckii (Rehder) Desmarais","Hess, WJ","5047V92",13,5,1992,"Acer Collection, S-101/15-50.","Yes",0,0,0,NA,NA,NA,NA
"188073","188073","0099980MOR","Acer shirasawanum 'Munn 001'","Potenberg, K","16899v21",12,8,2021,"Children's Garden: J-50/25-69","Yes",0,0,0,NA,NA,NA,NA
"93700","93700","0040038MOR","Acer spicatum Lam.","Shimp, E","3770V90",31,7,1990,"Northern Great Lakes, NN-33/Area.","Yes",0,0,0,NA,NA,NA,NA
"138970","138970","0040037MOR","Acer spicatum Lam.","Rossi, E","357",26,6,1990,"On the East Side of the Morton Arboretum in the Aceraceae Collection. On the south side of Ridge Road in W-62/15-07.","Yes",0,0,0,NA,NA,NA,NA
"135420","135420","0040035MOR","Acer spicatum Lam.","Wiegrefe, S","325",21,5,1997,"Acer Collection, W-60/06-07.","Yes",0,0,0,NA,NA,NA,NA
"140673","140673","0040030MOR","Acer spicatum Lam.","Allen, K","8341V97",28,7,1997,"In the Appalachian Collection on the side, BB-72/22-79.","Yes",0,0,0,NA,NA,NA,NA
"187900","187900","0099230MOR","Acer spicatum Lam.","Worcester, L","LW342",28,8,2018,"Acer: T-102/03-87","Yes",0,0,0,NA,NA,NA,NA
"188141","188141","0100204MOR","Acer spicatum Lam.","Dorrell, J","16928v21",26,8,2021,"Acer: P-102/03-62","Yes",0,0,0,NA,NA,NA,NA
"187882","187882","0099228MOR","Acer stachyophyllum Hiern","Worcester, L","LW340",28,8,2018,"Acer: S-100/39-93","Yes",0,0,0,NA,NA,NA,NA
"188989","188989","0100219MOR","Acer stachyophyllum Hiern","Potenberg, K","17186v22",26,5,2022,"Acer: U-100/80-30","Yes",0,0,0,NA,NA,NA,NA
"187889","187889","0099221MOR","Acer stachyophyllum subsp. betulifolium (Maxim.) P.C.deJong","Worcester, L","LW330",17,8,2018,"China: Z-70/85-95","Yes",0,0,0,NA,NA,NA,NA
"32","32",NA,"Acer stachyophyllum subsp. betulifolium (Maxim.) P.C.deJong","Morrison, K","40",3,7,2019,"Acer: S-100/20-19","Yes",0,0,0,NA,NA,NA,NA
"33","33",NA,"Acer stachyophyllum subsp. betulifolium (Maxim.) P.C.deJong","Morrison, K","39",3,7,2019,"Acer: R-100/98-27","Yes",0,0,0,NA,NA,NA,NA
"34","34",NA,"Acer stachyophyllum subsp. betulifolium (Maxim.) P.C.deJong","Morrison, K","38",3,7,2019,"Acer: S-99/02-99","Yes",0,0,0,NA,NA,NA,NA
"188369","188369","0099746MOR","Acer stachyophyllum subsp. betulifolium (Maxim.) P.C.deJong","Potenberg, K","16906v21",19,8,2021,"Acer: S-99/02-99","Yes",0,0,0,NA,NA,NA,NA
"35","35",NA,"Acer sterculiaceum subsp. franchetii (Pax) A.E.Murray","Morrison, K","49",5,7,2019,"Acer: V-100/46-74","Yes",0,0,0,NA,NA,NA,NA
"36","36",NA,"Acer sterculiaceum subsp. franchetii (Pax) A.E.Murray","Morrison, K","48",5,7,2019,"Acer: W-100/09-40","Yes",0,0,0,NA,NA,NA,NA
"37","37",NA,"Acer sterculiaceum subsp. franchetii (Pax) A.E.Murray","Morrison, K","50",5,7,2019,"Acer: V-100/14-84","Yes",0,0,0,NA,NA,NA,NA
"188978","188978","0099994MOR","Acer sterculiaceum subsp. franchetii (Pax) A.E.Murray","Potenberg, K","16942v21",30,9,2021,"Acer: Q-102/34-06","Yes",0,0,0,NA,NA,NA,NA
"690","690","0040046MOR","Acer tataricum L.","Hawkinson, L","s.n.",19,10,1940,NA,"Yes",0,0,0,NA,NA,NA,NA
"125","125","0039759MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Hawkinson, L","s.n.",8,10,1940,"China Collection, central, BB-66/27-41.","Yes",0,0,0,NA,NA,NA,NA
"111557","111557","0039699MOR","Acer tataricum subsp. semenovii (Regel & Herder) A.E.Murray","Wiegrefe, S","283",14,5,1993,"Acer Collection, V-61/46-63.","Yes",0,0,0,NA,NA,NA,NA
"127916","127916","0039705MOR","Acer tegmentosum Maxim.","Altvatter, K","7190V95",23,6,1995,"North Eastern Asia, CC-40/33-33.","Yes",0,0,0,NA,NA,NA,NA
"149264","149264","0039698MOR","Acer tegmentosum Maxim.","Allen, K","9145V00",27,4,2000,"Aceraceae Collection, X-62/57-58.","Yes",0,0,0,NA,NA,NA,NA
"158961","158961","0050505MOR","Acer tegmentosum Maxim.","Vogel, S","9922V03",8,9,2003,"China, central section; BB-68/12-88","Yes",0,0,0,NA,NA,NA,NA
"38","38",NA,"Acer tegmentosum Maxim.","Morrison, K","44",3,7,2019,"Acer: R-98/57-34","Yes",0,0,0,NA,NA,NA,NA
"187251","187251","0098332MOR","Acer trautvetteri Medw.","Worcester, L","LW283",4,8,2018,"Acer: V-100/14-31","Yes",0,0,0,NA,NA,NA,NA
"735","735","0039963MOR","Acer triflorum Kom.","Swink, FA","s.n.",11,8,1964,"Acer Collection, V-98/40-65.","Yes",0,0,0,NA,NA,NA,NA
"127840","127840","0039816MOR","Acer triflorum Kom.","Altvatter, K","7158V95",21,6,1995,"Aceraceae Collection, X-61/82-47.","Yes",0,0,0,NA,NA,NA,NA
"158511","158511","0050096MOR","Acer triflorum Kom.","Packard, S","9921V03",8,9,2003,"China, central section: BB-69/32-34","Yes",0,0,0,NA,NA,NA,NA
"186631","186631","0098781MOR","Acer triflorum Kom.","Means, E","15846v18",28,6,2018,"Childrens Garden: K-49/87-87","Yes",0,0,0,NA,NA,NA,NA
"190985","190985","0102871MOR","Acer triflorum Kom.","Dorrell, J","18033v23",20,7,2023,"Research Building: H-40/74-57","Yes",0,0,0,NA,NA,NA,NA
"146799","146799","0054735MOR","Acer truncatum","Wiegrefe, S","642",23,7,1998,"46029","Yes",0,0,0,NA,NA,NA,NA
"163716","163716","0053218MOR","Acer truncatum","Bonnewell, V",NA,14,5,2007,"Tree Breeding Nursery, EN1/B11","Yes",0,0,0,NA,NA,NA,NA
"74943","74943","0039969MOR","Acer truncatum Bunge","Bucha, L","1625V87",13,10,1987,"Acer Collection, N-97/60-30.","Yes",0,0,0,NA,NA,NA,NA
"127842","127842","0039973MOR","Acer truncatum Bunge","Altvatter, K","7160V95",21,6,1995,"Aceraceae Collection, V-63/61-30.","Yes",0,0,0,NA,NA,NA,NA
"187892","187892","0099218MOR","Acer tsinglingense W.P.Fang & C.F.Hsieh","Worcester, L","LW326",16,8,2018,"China: CC-66/69-06","Yes",0,0,0,NA,NA,NA,NA
"187870","187870","0099263MOR","Acer turkestanicum Pax","Worcester, L","LW319",14,8,2018,"Frost Hill: E-64/97-00","Yes",0,0,0,NA,NA,NA,NA
"187883","187883","0099227MOR","Acer ukurunduense Trautv. & C.A.Mey.","Worcester, L","LW339",28,8,2018,"Acer: R-98/97-50","Yes",0,0,0,NA,NA,NA,NA
"188353","188353","0100193MOR","Acer wilsonii Rehder","Dorrell, J","16925v21",26,8,2021,"Acer: Q-101/17-86","Yes",0,0,0,NA,NA,NA,NA
"187860","187860","0099250MOR","Acer yui W.P.Fang","Worcester, L","LW268",31,7,2018,"China: X-64/50-93","Yes",0,0,0,NA,NA,NA,NA
"189664","189664","0101002MOR","Acer yui W.P.Fang","Potenberg, K","17298v22",4,8,2022,"China: X-62/40-26","Yes",0,0,0,NA,NA,NA,NA
