"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit"
"54","54",NA,"Acer mono f. subtrifidum (Makino) Rehder","Morrison, K","51",5,7,2019,"Acer: V-98/01-53","Yes",0,0,0,NA,NA,NA,NA
"188790","188790","0099876MOR","Acer mono f. subtrifidum (Makino) Rehder","Dorrell, J","16920v21",26,8,2021,"Acer: T-99/78-23","Yes",0,0,0,NA,NA,NA,NA
"189206","189206","0100551MOR","Acer mono f. subtrifidum (Makino) Rehder","Potenberg, K","16940v21",30,9,2021,"Acer: T-98/40-80","Yes",0,0,0,NA,NA,NA,NA
"158509","158509","0050097MOR","Acer mono Maxim.","Packard, S","9924V03",8,9,2003,"China, central section: BB-68/07-51","Yes",0,0,0,NA,NA,NA,NA
"158510","158510","0050086MOR","Acer mono Maxim.","Vogel, S","9923V03",8,9,2003,"China, central section: AA-68/96-74","Yes",0,0,0,NA,NA,NA,NA
"159854","159854","0051357MOR","Acer mono Maxim.","Packard, S","9925V03",8,9,2003,"China, central section; AA-68/86-43","Yes",0,0,0,NA,NA,NA,NA
"187435","187435","0098320MOR","Acer mono Maxim.","Worcester, L","LW259",31,7,2018,"China: X-61/60-44","Yes",0,0,0,NA,NA,NA,NA
"238","238","0039512MOR","Acer monspessulanum L.","Swink, FA","s.n.",11,8,1964,"Acer Collection, U-99/60-75","Yes",0,0,0,NA,NA,NA,NA
"127853","127853","0039514MOR","Acer monspessulanum L.","Altvatter, K","7171V95",21,6,1995,"Balkans Collection, II-75/38-15","Yes",0,0,0,NA,NA,NA,NA
"135503","135503","0039515MOR","Acer monspessulanum L.","Wiegrefe, S","338",3,6,1997,"Balkans Collection, II-75/47-22","Yes",0,0,0,NA,NA,NA,NA
"187896","187896","0099236MOR","Acer monspessulanum subsp. ibericum (M.Bieb. ex Willd.) Yalt.","Worcester, L","LW414",26,9,2018,"Propagation: H-30 area, Hoop House 5","Yes",0,0,0,NA,NA,NA,NA
"255","255","0039520MOR","Acer negundo 'Crispum Variegatum'","Lesica, P","s.n.",18,5,1972,"Acer Collection, Q-98/50-20","Yes",0,0,0,NA,NA,NA,NA
"80867","80867","0039521MOR","Acer negundo 'Crispum Variegatum'","Hess, WJ","2200V88",24,8,1988,"West Acer Collection, V-63/69-00","Yes",0,0,0,NA,NA,NA,NA
"247","247","0039511MOR","Acer negundo L.","Schulenberg, RF","s.n.",15,5,1975,"Acer Collection, Q-99/85-30","Yes",0,0,0,NA,NA,NA,NA
"103932","103932","0039522MOR","Acer negundo L.","Hess, WJ","5029V92",13,5,1992,"Acer Collection, R-99/40-10","Yes",0,0,0,NA,NA,NA,NA
"187887","187887","0099223MOR","Acer negundo var. texanum Pax","Worcester, L","LW332",17,8,2018,"Eastern U.S. Wetlands: EE-67/27-21","Yes",0,0,0,NA,NA,NA,NA
"287","287","0039537MOR","Acer negundo var. violaceum Booth ex G.Kirchn.","Swink, FA","s.n.",10,8,1964,"Acer Collection, P-98/70-30","Yes",0,0,0,NA,NA,NA,NA
"285","285","0039527MOR","Acer negundo var. violaceum Booth ex G.Kirchn.","Ciolac, C","s.n.",16,1,1973,"Acer Collection, P-98/90-00","Yes",0,0,0,NA,NA,NA,NA
"127619","127619","0039533MOR","Acer negundo var. violaceum Booth ex G.Kirchn.","Altvatter, K","7154V95",21,6,1995,"Aceraceae Collection, W-62/14-33","Yes",0,0,0,NA,NA,NA,NA
"135415","135415","0039525MOR","Acer negundo var. violaceum Booth ex G.Kirchn.","Wiegrefe, S","329",21,5,1997,"Acer Collection, W-62/14-33","Yes",0,0,0,NA,NA,NA,NA
"187598","187598","0098488MOR","Acer negundo var. violaceum Booth ex G.Kirchn.","Worcester, L","LW288",4,8,2018,"Acer: T-103/14-25","Yes",0,0,0,NA,NA,NA,NA
"187599","187599","0098486MOR","Acer nigrum F.Michx.","Worcester, L","LW289",4,8,2018,"Acer: R-102/86-71","Yes",0,0,0,NA,NA,NA,NA
"187603","187603","0098426MOR","Acer nikoense Maxim.","Worcester, L","LW293",4,8,2018,"Acer: V-98/36-83","Yes",0,0,0,NA,NA,NA,NA
"188424","188424","0099518MOR","Acer nikoense Maxim.","Dorrell, J","16918v21",26,8,2021,"Acer: V-98/36-83","Yes",0,0,0,NA,NA,NA,NA
"187246","187246","0098344MOR","Acer oblongum Wall. ex DC.","Worcester, L","LW372",13,9,2018,"Propagation: H-30/area (Hoop House 4)","Yes",0,0,0,NA,NA,NA,NA
"127841","127841","0039536MOR","Acer oliverianum Pax","Altvatter, K","7159V95",21,6,1995,"Aceraceae Collection, X-61/26-21","Yes",0,0,0,NA,NA,NA,NA
"187161","187161","0098305MOR","Acer oliverianum Pax","Worcester, L","LW275",1,8,2018,"China: Z-68/43-44","Yes",0,0,0,NA,NA,NA,NA
"195184","195184","0112658MOR","Acer oliverianum Pax","Potenberg, K","17335v22",11,8,2022,"China: South Section: X-68/37-90","Yes",0,0,0,NA,NA,NA,NA
"347","347","0039535MOR","Acer opalus Mill.","Braham, R","s.n.",23,6,1971,"Frost Hill, F-62/75-60","Yes",0,0,0,NA,NA,NA,NA
"362","362","0039545MOR","Acer opalus var. obtusatum (Willd.) Henry","Allen, L","s.n.",24,7,1973,"Frost Hill, F-62/70-35","Yes",0,0,0,NA,NA,NA,NA
"127851","127851","0039544MOR","Acer opalus var. obtusatum (Willd.) Henry","Altvatter, K","7169V95",21,6,1995,"Balkans Collection, II-75/53-11","Yes",0,0,0,NA,NA,NA,NA
"135547","135547","0039546MOR","Acer opalus var. obtusatum (Willd.) Henry","Wiegrefe, S","337",3,6,1997,"Balkans Collection, II-75/53-11","Yes",0,0,0,NA,NA,NA,NA
"372","372","0044094MOR","Acer palmatum 'Atropurpureum'","Kammerer, E","s.n.",25,5,1937,"Upper Joy Path, FF-24/Area","Yes",0,0,0,NA,NA,NA,NA
"370","370","0043814MOR","Acer palmatum 'Atropurpureum'","Lesica, P","s.n.",26,7,1972,"K-41/65-45 near Lily Pool","Yes",0,0,0,NA,NA,NA,NA
"186512","186512","0098821MOR","Acer palmatum 'Twomblys Red Sentinel'","Potenberg, K","15837v18",19,6,2018,"Dwarf Woody Plants: D-48/75-05","Yes",0,0,0,NA,NA,NA,NA
"146637","146637","0053132MOR","Acer palmatum × palmatum 'Sangu Kaku' [1]","Wiegrefe, S","477",18,6,1998,"Quonset hut","Yes",0,0,0,NA,NA,NA,NA
"187592","187592","0098494MOR","Acer palmatum subsp. amoenum (Carrière) H.Hara","Worcester, L","LW410",26,9,2018,"Propagation: H-30 area, Hoop House 4","Yes",0,0,0,NA,NA,NA,NA
"189675","189675","0101010MOR","Acer palmatum subsp. amoenum (Carrière) H.Hara","Potenberg, K","17308v22",4,8,2022,"China: W-65/24-21","Yes",0,0,0,NA,NA,NA,NA
"187881","187881","0099237MOR","Acer palmatum subsp. matsumurae Koidz.","Worcester, L","LW424",27,9,2018,"Japan: X-59/47-77","Yes",0,0,0,NA,NA,NA,NA
"189505","189505","0102288MOR","Acer palmatum subsp. matsumurae Koidz.","Dorrell, J","17264v22",21,7,2022,"Japan: S-58/61-44","Yes",0,0,0,NA,NA,NA,NA
"127846","127846","0039542MOR","Acer palmatum Thunb.","Altvatter, K","7164V95",21,6,1995,"Aceraceae Collection, X-64/40-47","Yes",0,0,0,NA,NA,NA,NA
"135413","135413","0039551MOR","Acer palmatum Thunb.","Wiegrefe, S","332",21,5,1997,"Acer Collection, X-64/40-47","Yes",0,0,0,NA,NA,NA,NA
"146593","146593","0053121MOR","Acer palmatum Thunb.","Wiegrefe, S","433",12,6,1998,"Quonset hut","Yes",0,0,0,NA,NA,NA,NA
"187441","187441","0098326MOR","Acer palmatum Thunb.","Worcester, L","LW265",31,7,2018,"China: X-64/40-47","Yes",0,0,0,NA,NA,NA,NA
"375","375","0043811MOR","Acer palmatum var. heptalobum Rehder","Lesica, P","s.n.",13,6,1972,"Acer Collection S-99/95-15","Yes",0,0,0,NA,NA,NA,NA
"104051","104051","0043810MOR","Acer palmatum var. heptalobum Rehder","Hess, WJ","5052V92",13,5,1992,"Acer Collection Q-101/40-35","Yes",0,0,0,NA,NA,NA,NA
"187861","187861","0099249MOR","Acer pauciflorum W.P.Fang","Worcester, L","LW267",31,7,2018,"China: X-65/17-00","Yes",0,0,0,NA,NA,NA,NA
"189572","189572","0100959MOR","Acer pauciflorum W.P.Fang","Potenberg, K","17318v22",11,8,2022,"China: south section: X-65/17-00","Yes",0,0,0,NA,NA,NA,NA
"138968","138968","0039553MOR","Acer pensylvanicum L.","Rossi, E","359",26,6,1990,"Aceraceae Collection, W-61/15-07; south side of Ridge Road.","Yes",0,0,0,NA,NA,NA,NA
"187899","187899","0099231MOR","Acer pensylvanicum L.","Worcester, L","LW343",28,8,2018,"Acer: T-103/28-92","Yes",0,0,0,NA,NA,NA,NA
"434","434","0039602MOR","Acer platanoides 'Crimson King'","Braham, R","s.n.",23,6,1971,"Street Tree Collection, E-96/Area","Yes",0,0,0,NA,NA,NA,NA
