"","PlantNumber","Taxon","Vernacular","ProvenanceType","DonorInstitute","PrincipalCollector","BgLocation","GardenGrid","GardenSubGrid","CommemorationText","Shade","Canopy.Cover","Date","Direction","Percent.Buds","Percent.Flowers","Percent.Fruit","Phenophase","doy"
"45","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46188,"East",0,0,0,NA,168
"46","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"East",100,0,0,1,168
"47","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"East",100,0,0,1,168
"48","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"East",100,0,0,1,168
"49","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"East",100,0,0,1,168
"50","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"East",40,58,2,3,168
"51","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"East",100,0,0,1,168
"52","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"South",0,0,0,NA,168
"53","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"South",0,0,0,NA,168
"54","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"South",0,0,0,NA,168
"55","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"South",100,0,0,1,168
"56","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"South",100,0,0,1,168
"57","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"South",100,0,0,1,168
"58","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46188,"South",0,0,0,NA,168
"59","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"South",100,0,0,1,168
"60","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"South",100,0,0,1,168
"61","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"South",100,0,0,1,168
"62","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"South",100,0,0,1,168
"63","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"South",19,81,0,5,168
"64","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"South",100,0,0,1,168
"65","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"West",0,0,0,NA,168
"66","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"West",0,0,0,NA,168
"67","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"West",0,0,0,NA,168
"68","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"West",100,0,0,1,168
"69","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"West",100,0,0,1,168
"70","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"West",100,0,0,1,168
"71","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46188,"West",0,0,0,NA,168
"72","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46188,"West",0,0,0,NA,168
"73","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"West",0,0,0,NA,168
"74","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"West",0,0,0,NA,168
"75","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"West",0,0,0,NA,168
"76","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46188,"West",38,60,2,3,168
"77","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46188,"West",100,0,0,1,168
"78","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"North",0,0,0,NA,171
"79","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"North",0,0,0,NA,171
"80","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"North",0,0,0,NA,171
"81","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"North",100,0,0,1,171
"82","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",98,2,0,1,171
"83","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",100,0,0,1,171
"84","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46191,"North",0,0,0,NA,171
"85","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",96,4,0,1,171
"86","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",100,0,0,1,171
"87","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",100,0,0,1,171
"88","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",100,0,0,1,171
"89","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",5,66,29,6,171
"90","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"North",100,0,0,1,171
"91","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",95,5,0,1,171
"92","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"East",0,0,0,NA,171
"93","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"East",0,0,0,NA,171
"94","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",100,0,0,1,171
"95","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",98,2,0,1,171
"96","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"East",100,0,0,1,171
"97","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46191,"East",0,0,0,NA,171
"98","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",100,0,0,1,171
"99","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",100,0,0,1,171
"100","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"East",100,0,0,1,171
"101","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"East",100,0,0,1,171
"102","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"East",77,23,0,2,171
"103","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"East",100,0,0,1,171
"104","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"South",100,0,0,1,171
"105","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"South",0,0,0,NA,171
"106","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"South",53,47,0,3,171
"107","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"South",100,0,0,1,171
"108","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"South",100,0,0,1,171
"109","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"South",100,0,0,1,171
"110","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46191,"South",0,0,0,NA,171
"111","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"South",100,0,0,1,171
"112","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"South",100,0,0,1,171
"113","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"South",100,0,0,1,171
"114","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"South",100,0,0,1,171
"115","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"South",15,85,0,5,171
"116","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"South",100,0,0,1,171
"117","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"West",0,0,0,NA,171
"118","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"West",0,0,0,NA,171
"119","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"West",65,35,0,2,171
"120","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"West",100,0,0,1,171
"121","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"West",100,0,0,1,171
"122","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"West",100,0,0,1,171
"123","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46191,"West",0,0,0,NA,171
"124","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46191,"West",0,0,0,NA,171
"125","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"West",100,0,0,1,171
"126","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"West",100,0,0,1,171
"127","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"West",100,0,0,1,171
"128","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46191,"West",8,70,22,6,171
"129","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46191,"West",100,0,0,1,171
"130","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"North",0,0,0,NA,175
"131","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"North",0,0,0,NA,175
"132","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"North",0,0,0,NA,175
"133","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"North",99,1,0,1,175
"134","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"North",83,17,0,2,175
"135","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"North",100,0,0,1,175
"136","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46195,"North",0,0,0,NA,175
"137","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"North",0,0,0,NA,175
"138","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"North",100,0,0,1,175
"139","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"North",93,7,0,1,175
"140","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"North",62,38,0,2,175
"141","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"North",0,8,92,9,175
"142","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"North",79,21,0,2,175
"143","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"East",71,29,0,2,175
"144","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"East",0,0,0,NA,175
"145","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"East",0,0,0,NA,175
"146","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"East",100,0,0,1,175
"147","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"East",90,8,2,1,175
"148","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"East",98,2,0,1,175
"149","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46195,"East",0,0,0,NA,175
"150","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"East",100,0,0,1,175
"151","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"East",100,0,0,1,175
"152","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"East",100,0,0,1,175
"153","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"East",79,21,0,2,175
"154","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"East",0,21,79,8,175
"155","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"East",94,6,0,1,175
"156","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"South",65,35,0,2,175
"157","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"South",0,0,0,NA,175
"158","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"South",50,50,0,3,175
"159","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"South",98,2,0,1,175
"160","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"South",94,6,0,1,175
"161","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"South",94,6,0,1,175
"162","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46195,"South",0,0,0,NA,175
"163","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"South",100,0,0,1,175
"164","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"South",100,0,0,1,175
"165","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"South",100,0,0,1,175
"166","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"South",89,11,0,2,175
"167","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"South",0,11,89,8,175
"168","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"South",100,0,0,1,175
"169","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"West",0,0,0,NA,175
"170","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"West",0,0,0,NA,175
"171","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"West",50,50,0,3,175
"172","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"West",97,3,0,1,175
"173","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"West",66,34,0,2,175
"174","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"West",100,0,0,1,175
"175","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46195,"West",0,0,0,NA,175
"176","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46195,"West",0,0,0,NA,175
"177","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"West",100,0,0,1,175
"178","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"West",99,1,0,1,175
"179","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"West",91,9,0,1,175
"180","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46195,"West",0,39,61,7,175
"181","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46195,"West",100,0,0,1,175
"182","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"North",0,0,0,NA,179
"183","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"North",0,0,0,NA,179
"184","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"North",0,100,0,5,179
"185","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"North",81,19,0,2,179
"186","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"North",66,34,0,2,179
"187","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"North",77,23,0,2,179
"188","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46199,"North",0,0,0,NA,179
"189","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"North",0,0,0,NA,179
"190","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"North",64,33,0,2,179
"191","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"North",93,7,0,1,179
"192","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"North",33,66,0,NA,179
"193","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"North",0,0,100,9,179
"194","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"North",88,12,0,2,179
"195","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"East",16,84,0,5,179
"196","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"East",0,0,0,NA,179
"197","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"East",12,88,0,5,179
"198","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"East",100,0,0,1,179
"199","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"East",12,88,0,5,179
"200","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"East",91,9,0,1,179
"201","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46199,"East",0,0,0,NA,179
"202","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"East",70,30,0,2,179
"203","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"East",0,0,0,NA,179
"204","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"East",70,30,0,2,179
"205","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"East",41,59,0,3,179
"206","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"East",0,0,100,9,179
"207","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"East",92,8,0,1,179
"208","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"South",14,86,0,5,179
"209","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"South",0,0,0,NA,179
"210","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"South",100,0,0,1,179
"211","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"South",93,7,0,1,179
"212","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"South",75,25,0,2,179
"213","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"South",80,20,0,2,179
"214","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46199,"South",0,0,0,NA,179
"215","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"South",88,12,0,2,179
"216","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"South",85,15,0,2,179
"217","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"South",88,12,0,2,179
"218","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"South",51,49,0,3,179
"219","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"South",0,0,100,9,179
"220","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"South",71,29,0,2,179
"221","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"West",0,0,0,NA,179
"222","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"West",0,0,0,NA,179
"223","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"West",0,89,11,5,179
"224","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"West",95,5,0,1,179
"225","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"West",18,82,0,5,179
"226","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"West",66,34,0,2,179
"227","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46199,"West",0,0,0,NA,179
"228","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46199,"West",0,0,0,NA,179
"229","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"West",0,0,0,NA,179
