"","PlantNumber","Taxon","Vernacular","ProvenanceType","DonorInstitute","PrincipalCollector","BgLocation","GardenGrid","GardenSubGrid","CommemorationText","Shade","Canopy.Cover","Date","Direction","Percent.Buds","Percent.Flowers","Percent.Fruit","Phenophase","doy"
"230","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"West",88,12,0,2,179
"231","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"West",54,56,0,3,179
"232","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46199,"West",0,4,96,9,179
"233","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46199,"West",72,28,0,2,179
"234","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"North",0,0,0,NA,182
"235","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"North",0,0,0,NA,182
"236","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"North",0,0,0,NA,182
"237","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"North",40,60,0,3,182
"238","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"North",8,71,21,6,182
"239","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"North",68,32,0,2,182
"240","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46202,"North",0,0,0,NA,182
"241","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"North",25,75,0,NA,182
"242","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"North",57,43,0,3,182
"243","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"North",59,41,0,3,182
"244","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"North",18,82,0,5,182
"245","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"North",0,0,100,9,182
"246","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"North",38,59,3,3,182
"247","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"East",18,73,9,5,182
"248","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"East",0,100,0,5,182
"249","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"East",0,100,0,5,182
"250","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"East",68,32,0,2,182
"251","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"East",42,55,3,3,182
"252","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"East",48,52,0,3,182
"253","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46202,"East",0,0,0,NA,182
"254","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"East",24,76,0,NA,182
"255","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"East",69,31,0,2,182
"256","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"East",88,12,0,2,182
"257","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"East",7,93,0,5,182
"258","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"East",0,0,100,9,182
"259","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"East",61,39,0,2,182
"260","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"South",0,93,7,5,182
"261","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"South",0,0,0,NA,182
"262","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"South",0,0,0,NA,182
"263","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"South",80,20,0,2,182
"264","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"South",27,70,3,NA,182
"265","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"South",38,62,0,3,182
"266","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46202,"South",0,0,0,NA,182
"267","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"South",0,0,0,NA,182
"268","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"South",43,57,0,3,182
"269","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"South",19,81,0,5,182
"270","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"South",10,88,2,5,182
"271","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"South",0,0,100,9,182
"272","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"South",19,81,0,5,182
"273","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"West",0,0,0,NA,182
"274","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"West",0,100,0,5,182
"275","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"West",0,100,0,5,182
"276","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"West",38,59,3,3,182
"277","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"West",5,95,0,5,182
"278","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"West",62,38,0,2,182
"279","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46202,"West",0,0,0,NA,182
"280","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46202,"West",0,0,0,NA,182
"281","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"West",58,42,0,3,182
"282","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"West",59,41,0,3,182
"283","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"West",24,70,6,NA,182
"284","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46202,"West",0,0,100,9,182
"285","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46202,"West",59,41,0,3,182
"286","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"North",0,0,0,NA,185
"287","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"North",0,0,0,NA,185
"288","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"North",0,0,0,NA,185
"289","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"North",11,84,5,5,185
"290","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"North",20,33,47,NA,185
"291","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"North",11,89,0,5,185
"292","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46205,"North",0,0,0,NA,185
"293","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"North",0,50,50,6,185
"294","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"North",25,41,34,NA,185
"295","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"North",26,74,0,NA,185
"296","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"North",0,20,80,8,185
"297","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"North",0,0,10000,9,185
"298","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"North",15,83,2,5,185
"299","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"East",0,7,93,9,185
"300","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"East",0,43,57,7,185
"301","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"East",14,14,72,NA,185
"302","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"East",3,72,25,6,185
"303","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"East",16,36,48,NA,185
"304","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"East",100,0,0,1,185
"305","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46205,"East",0,0,0,NA,185
"306","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"East",1,45,54,7,185
"307","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"East",38,51,11,3,185
"308","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"East",93,7,0,1,185
"309","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"East",100,0,0,1,185
"310","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"East",0,0,100,9,185
"311","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"East",10,78,12,5,185
"312","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"South",0,13,87,8,185
"313","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"South",0,0,0,NA,185
"314","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"South",0,0,100,9,185
"315","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"South",13,79,8,5,185
"316","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"South",12,28,60,NA,185
"317","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"South",14,86,0,5,185
"318","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46205,"South",0,0,0,NA,185
"319","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"South",0,0,0,NA,185
"320","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"South",9,69,22,6,185
"321","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"South",7,84,9,5,185
"322","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"South",0,7,93,9,185
"323","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"South",0,0,100,9,185
"324","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"South",5,65,30,6,185
"325","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"West",0,0,0,NA,185
"326","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"West",0,50,50,6,185
"327","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"West",0,18,82,8,185
"328","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"West",3,72,25,6,185
"329","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"West",1,13,86,8,185
"330","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"West",14,86,0,5,185
"331","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46205,"West",0,0,0,NA,185
"332","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46205,"West",0,0,0,NA,185
"333","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"West",18,66,16,4,185
"334","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"West",3,84,13,5,185
"335","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"West",0,3,97,9,185
"336","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46205,"West",0,0,100,9,185
"337","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46205,"West",8,65,27,6,185
"338","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"North",0,0,0,NA,189
"339","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"North",0,0,0,NA,189
"340","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"North",0,0,0,NA,189
"341","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"North",0,18,82,NA,189
"342","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"North",0,27,73,NA,189
"343","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"North",9,51,40,NA,189
"344","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46209,"North",0,0,0,NA,189
"345","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"North",0,0,0,NA,189
"346","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"North",4,45,51,NA,189
"347","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"North",7,14,79,NA,189
"348","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"North",0,9,91,NA,189
"349","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"North",0,0,100,9,189
"350","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"East",0,10,90,NA,189
"351","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"East",0,0,100,9,189
"352","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"East",0,0,100,9,189
"353","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"East",0,0,100,9,189
"354","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"East",0,11,89,NA,189
"355","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"East",2,9,89,NA,189
"356","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"East",7,26,67,NA,189
"357","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46209,"East",0,0,0,NA,189
"358","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"East",1,5,94,NA,189
"359","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"East",18,38,44,NA,189
"360","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"East",0,14,86,NA,189
"361","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"East",0,1,99,NA,189
"362","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"East",0,0,100,9,189
"363","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"East",0,18,82,NA,189
"364","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"South",0,0,100,9,189
"365","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"South",0,0,0,NA,189
"366","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"South",0,0,100,9,189
"367","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"South",2,60,38,NA,189
"368","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"South",2,8,90,NA,189
"369","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"South",13,18,69,NA,189
"370","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46209,"South",0,0,0,NA,189
"371","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"South",0,0,0,NA,189
"372","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"South",7,13,80,NA,189
"373","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"South",0,15,85,NA,189
"374","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"South",0,2,98,NA,189
"375","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"South",0,0,100,9,189
"376","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"South",1,15,84,NA,189
"377","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"West",0,0,100,9,189
"378","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"West",0,0,100,9,189
"379","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"West",0,0,100,9,189
"380","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"West",0,25,75,NA,189
"381","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"West",2,3,95,NA,189
"382","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"West",15,55,30,NA,189
"383","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46209,"West",0,0,0,NA,189
"384","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46209,"West",0,0,0,NA,189
"385","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"West",24,31,45,NA,189
"386","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"West",11,7,82,NA,189
"387","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"West",0,6,94,NA,189
"388","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46209,"West",0,0,100,9,189
"389","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46209,"West",6,29,65,NA,189
"390","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"North",0,0,100,9,193
"391","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"North",0,0,100,9,193
"392","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"North",0,0,100,9,193
"393","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"North",0,11,89,NA,193
"394","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"North",0,4,96,NA,193
"395","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"North",2,22,76,NA,193
"396","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46213,"North",0,0,0,NA,193
"397","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"North",0,0,0,NA,193
"398","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"North",0,17,83,NA,193
"399","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"North",0,1,99,9,193
"400","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"North",1,1,98,NA,193
"401","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"North",0,0,100,9,193
"402","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"North",0,0,100,9,193
"403","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"East",0,0,100,9,193
"404","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"East",0,0,100,9,193
"405","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"East",0,0,100,9,193
"406","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"East",0,0,100,9,193
"407","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"East",2,4,94,NA,193
"408","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"East",0,32,68,NA,193
"409","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46213,"East",0,0,0,NA,193
"410","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"East",0,0,100,9,193
"411","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"East",2,8,90,NA,193
"412","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"East",0,0,100,9,193
"413","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"East",0,0,100,9,193
"414","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"East",0,0,100,9,193
"415","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"East",0,2,98,9,193
"416","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"South",0,0,100,9,193
"417","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"South",0,0,100,9,193
"418","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"South",0,0,100,9,193
"419","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"South",0,0,100,9,193
"420","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"South",2,5,93,NA,193
"421","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"South",0,23,77,NA,193
"422","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46213,"South",0,0,0,NA,193
"423","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"South",0,0,100,9,193
"424","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"South",0,7,93,NA,193
"425","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"South",0,0,100,9,193
"426","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"South",0,0,100,9,193
"427","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"South",0,0,100,9,193
"428","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"South",0,11,89,NA,193
"429","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"West",0,0,100,9,193
"430","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"West",0,0,100,9,193
"431","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"West",0,0,100,9,193
"432","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"West",0,0,100,9,193
"433","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"West",0,0,100,9,193
"434","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"West",0,32,68,NA,193
"435","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A",46213,"West",0,0,0,NA,193
"436","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","T",46213,"West",0,0,0,NA,193
"437","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"West",0,0,100,9,193
"438","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"West",4,11,85,NA,193
"439","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"West",0,0,100,9,193
"440","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F",46213,"West",0,0,100,9,193
"441","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","F",46213,"West",0,11,89,NA,193
