"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit","doy","Phenophase"
"85","458.0","0039448MOR","Acer platanoides 'Schwedleri'","Ciolac, C","s.n.",3,5,1973,"Form Garden, AA-26/60-35","Yes",0,12,52,NA,0,18.75,81.25,123,8
"86","459.0","0039456MOR","Acer platanoides 'Schwedleri'","Hawkinson, L","s.n.",26,9,1940,"13-6","Yes",0,0,7,NA,0,0,100,270,9
"87","460.0","0039447MOR","Acer platanoides 'Schwedleri'","Kammerer, E","s.n.",25,5,1937,NA,"Yes",0,0,14,NA,0,0,100,145,9
"89","466.0","0039660MOR","Acer platanoides 'Undulatum'","Lesica, P","s.n.",5,5,1972,"Acer Collection, N-100/65-05","Yes",6,18,0,NA,25,75,0,126,NA
"90","467.0","0039659MOR","Acer platanoides 'Undulatum'","Swink, FA","s.n.",10,8,1964,"Acer Collection, N-101/30-10","Yes",0,0,2,NA,0,0,100,223,9
"97","487.0","0039655MOR","Acer pseudoplatanus 'Purpureum'","Ciolac, C","s.n.",31,5,1973,"Acer Collection, N-98/20-10","Yes",0,0,20,NA,0,0,100,151,9
"100","516.0","0039682MOR","Acer rubrum L.","Kammerer, E","s.n.",2,5,1946,"Eastern US Wetlands, Taxodium Swamp; L 75-8","Yes",0,0,46,NA,0,0,100,122,9
"106","522.0","0039701MOR","Acer rubrum L.","Kammerer, E","s.n.",28,4,1937,"Oleaceae Collection","Yes",4,11,0,NA,26.66666667,73.33333333,0,118,NA
"107","523.0","0039730MOR","Acer rubrum L.","Kammerer, E","s.n.",16,4,1936,"Eastern US Wetlands, FF-68/Area.","Yes",6,80,0,NA,6.976744186,93.02325581,0,107,5
"108","524.0","0039723MOR","Acer rubrum L.","Ciolac, C","s.n.",16,4,1970,"Oleaceae Collection, Q-38/75-60, near entrance gate to west side of Arboretum.","Yes",101,72,0,NA,58.38150289,41.61849711,0,106,3
"109","525.0","0039740MOR","Acer rubrum L.","Braham, R","s.n.",4,5,1971,"#135-40 along Illinois tree trail, Meadow Lake, R-52/25-55.","Yes",0,11,60,NA,0,15.49295775,84.50704225,124,8
"110","526.0","0039710MOR","Acer rubrum L.","Lesica, P","s.n.",25,5,1972,"Acer Collection, R-99/70-40.","Yes",0,0,48,NA,0,0,100,146,9
"113","556.0","0039828MOR","Acer rubrum 'Columnare'","Lesica, P","s.n.",24,4,1972,"Columnar Trees, G-66/70-65","Yes",8,0,0,NA,100,0,0,115,1
"123","607.0","0039794MOR","Acer saccharinum 'Pendulum'","Schulenberg, RF","s.n.",15,5,1975,"Acer Collection, O-94/95-30.","Yes",0,0,2,NA,0,0,100,135,9
"126","611.0","0039878MOR","Acer saccharum Marshall","Lesica, P","s.n.",3,5,1972,"Prunus group, D-58/6.5-5.5","Yes",4,123,0,NA,3.149606299,96.8503937,0,124,5
"127","612.0","0039872MOR","Acer saccharum Marshall","Braham, R","s.n.",30,7,1971,"NE end of Parking 20, S-46/10-40","Yes",0,0,4,NA,0,0,100,211,9
"130","653.0","0040024MOR","Acer saccharum subsp. schneckii (Rehder) Desmarais","Read, RW","s.n.",14,10,1971,"Northern Illinois Coll., L-62/05-5.","Yes",0,0,7,NA,0,0,100,287,9
"132","656.0","0040023MOR","Acer saccharum subsp. schneckii (Rehder) Desmarais","Lesica, P","s.n.",18,7,1972,"Northern Illinois Coll., L-62/05-5.","Yes",0,0,8,NA,0,0,100,200,9
"133","657.0","0040027MOR","Acer saccharum subsp. schneckii (Rehder) Desmarais","Lesica, P","s.n.",2,5,1972,"Northern Illinois Coll., L-62/05-5.","Yes",4,112,0,NA,3.448275862,96.55172414,0,123,5
"134","659.0","0040021MOR","Acer saccharum subsp. schneckii (Rehder) Desmarais","Lesica, P","s.n.",5,6,1972,"Northern Illinois Coll., Forest Road, L-62/05-5.","Yes",0,0,8,NA,0,0,100,157,9
"135","660.0","0040028MOR","Acer saccharum subsp. schneckii (Rehder) Desmarais","Lesica, P","s.n.",8,5,1972,"Northern Illinois Coll., L-62/05-5.","Yes",0,104,0,NA,0,100,0,129,5
"136","663.0","0040026MOR","Acer saccharum subsp. schneckii (Rehder) Desmarais","Kammerer, E","s.n.",22,5,1964,"Along Forest Road, East Side, Northern Illinois Coll., L-62/05-5.","Yes",0,0,19,NA,0,0,100,143,9
"137","686.0","0040059MOR","Acer tataricum L.","Braham, R","s.n.",21,5,1971,"Acer Collection, T-100/45-30.","Yes",102,136,0,NA,42.85714286,57.14285714,0,141,3
"138","688.0","0040041MOR","Acer tataricum L.","Swink, FA","s.n.",11,8,1964,"Acer Collection, T-100/45-30.","Yes",0,0,10,NA,0,0,100,224,9
"139","689.0","0040044MOR","Acer tataricum L.","Kammerer, E","s.n.",15,7,1946,"Along Forest Road (north side) near Honeysuckle group.","Yes",0,0,25,NA,0,0,100,196,9
"141","697.0","0039895MOR","Acer saccharum 'Senecaense'","Lesica, P","s.n.",13,6,1972,"Acer Collection, U-102/55-15.","Yes",0,0,23,NA,0,0,100,165,9
"142","698.0","0039896MOR","Acer saccharum 'Senecaense'","Lesica, P","s.n.",15,5,1972,"Acer Collection, U-102/40-45.","Yes",0,236,23,NA,0,91.11969112,8.88030888,136,5
"143","704.0","0040032MOR","Acer spicatum Lam.","Kammerer, E","s.n.",12,6,1953,"Nursery Beds","Yes",0,314,20,NA,0,94.01197605,5.988023952,163,5
"144","705.0","0040031MOR","Acer spicatum Lam.","Kammerer, E","s.n.",16,5,1946,"Adm. Bldg. gr.","Yes",48,400,0,NA,10.71428571,89.28571429,0,136,5
"145","706.0","0040029MOR","Acer spicatum Lam.","Swink, FA","s.n.",11,8,1964,"Acer Collection, T-98/85-70.","Yes",0,0,24,NA,0,0,100,224,9
"146","707.0","0040034MOR","Acer spicatum Lam.","Kammerer, E","s.n.",21,5,1937,NA,"Yes",27,229,0,NA,10.546875,89.453125,0,141,5
"147","723.0","0039707MOR","Acer tegmentosum Maxim.","Allen, L","s.n.",24,7,1973,"Rosaceae Collection, E-63/95-05.","Yes",0,0,9,NA,0,0,100,205,9
"149","732.0","0039815MOR","Acer triflorum Kom.","Braham, R","s.n.",3,5,1972,"Acer Collection, V-98/40-65.","Yes",0,25,0,NA,0,100,0,124,5
"150","734.0","0039814MOR","Acer triflorum Kom.","Lesica, P","s.n.",26,5,1972,"Acer Collection, V-98/75-45.","Yes",0,0,3,NA,0,0,100,147,9
"152","3281.0","0039765MOR","Acer × freemanii 'Armstrong'","Schulenberg, RF","s.n.",12,4,1977,"Acer Collection, V-98/75-70.","Yes",0,0,8,NA,0,0,100,102,9
"153","9382.0","0039632MOR","Acer platanoides 'Royal Red'","Schulenberg, RF","s.n.",18,4,1977,"Acer Collection, DD-104/30-80","Yes",2,44,16,NA,3.225806452,70.96774194,25.80645161,108,6
"155","9415.0","0039378MOR","Acer campestre subsp. leiocarpum (Wallr.) Pax","Schulenberg, RF","s.n.",20,4,1977,"Acer Collection, T-100/30-00","Yes",12,18,0,NA,40,60,0,110,3
"156","9416.0","0039391MOR","Acer carpinifolium Siebold & Zucc.","Schulenberg, RF","s.n.",20,4,1977,"Frost Hill, E-63/5.5-2","Yes",6,13,0,NA,31.57894737,68.42105263,0,110,NA
"157","9418.0","0043805MOR","Acer japonicum Thunb.","Schulenberg, RF","s.n.",20,4,1977,"Southwest quarter of Frost Hill E-60/90-20","Yes",16,26,0,NA,38.0952381,61.9047619,0,110,3
"158","9419.0","0043812MOR","Acer palmatum var. heptalobum Rehder","Schulenberg, RF","s.n.",20,4,1977,"Acer Collection S-99/95-15","Yes",16,59,0,NA,21.33333333,78.66666667,0,110,NA
"159","9420.0","0039706MOR","Acer tegmentosum Maxim.","Schulenberg, RF","s.n.",20,4,1977,"Rosaceae Collection, E-63/95-05.","Yes",55,159,0,NA,25.70093458,74.29906542,0,110,NA
"160","12081.0","0039611MOR","Acer platanoides 'Emerald Queen'","Schulenberg, RF","s.n.",18,4,1977,"Acer Collection, EE-103/60-25","Yes",9,77,0,NA,10.46511628,89.53488372,0,108,5
"161","18042.0","0039586MOR","Acer platanoides 'Chas. F. Irish'","Schulenberg, RF","s.n.",18,4,1977,"Acer Collection, O-102/15-50","Yes",0,20,7,NA,0,74.07407407,25.92592593,108,6
"162","19117.0","0039732MOR","Acer rubrum L.","Podrasky, N","31V84",7,5,1984,"Diversity, N-57/Area.","Yes",0,81,327,NA,0,19.85294118,80.14705882,128,8
"163","19197.0","0039743MOR","Acer rubrum L.","Podrasky, N","32V84",7,5,1984,"Diversity, N-57/Area.","Yes",0,110,205,NA,0,34.92063492,65.07936508,128,7
"164","32264.0","0039742MOR","Acer rubrum L.","Hess, WJ","4091.0",25,4,1978,"Acer Collection, south side entrance to Administration & greenhouses.","Yes",7,139,0,NA,4.794520548,95.20547945,0,115,5
"165","34690.0","0039914MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Hess, WJ","4456.0",6,10,1978,"E side near witch hazel collection; M-87","Yes",0,0,76,NA,0,0,100,279,9
"169","40649.0","0039509MOR","Acer miyabei Maxim.","Hess, WJ","4867.0",14,5,1980,"On west side on the west side of Joy Path, V-24/20-50","Yes",22,37,0,NA,37.28813559,62.71186441,0,135,3
"170","43857.0","0039312MOR","Acer campestre L.","Levins, P","s.n.",21,4,1981,"In the Street Tree Collection, near parking area 7, E-96/Area.","Yes",3,86,0,NA,3.370786517,96.62921348,0,111,5
"171","43858.0","0039403MOR","Acer campestre L.","Levins, P","s.n.",22,5,1981,"In the Street Tree Collection, near parking area 7, E-96/Area.","Yes",0,1,9,NA,0,10,90,142,8
"172","43859.0","0039746MOR","Acer rubrum L.","Levins, P","s.n.",1,4,1981,"Pinaceae Coll., J-54/00-10 in the Administration Building Meadow, S of Meadow Lake.","Yes",10,60,0,NA,14.28571429,85.71428571,0,91,5
"173","43860.0","0039747MOR","Acer rubrum L.","Levins, P","s.n.",1,4,1981,"Acer Collection, R-99/40-40, NE of parking area 8.","Yes",93,12,0,NA,88.57142857,11.42857143,0,91,2
"174","51499.0","0039436MOR","Acer griseum (Franch.) Pax","Hedborn Jr, EA","s.n.",18,9,1984,"Meadow Lake, M-51/90-60.","Yes",0,0,5,NA,0,0,100,262,9
"175","51500.0","0039889MOR","Acer saccharum subsp. grandidentatum (Nutt. ex Torr. & A.Gray) Desmarais","Hedborn Jr, EA","s.n.",18,9,1984,"Ground Cover, L-45/00-00. Growing on the east side of the path from the Tea House.","Yes",0,0,36,NA,0,0,100,262,9
"176","51795.0","0039523MOR","Acer negundo 'Rubescens'","Schulenberg, RF","68V84",5,5,1984,"Acer Collection, R-99/00-15","Yes",0,54,0,NA,0,100,0,126,5
"177","51925.0","0039976MOR","Acer truncatum Bunge","Schulenberg, RF","63V84",8,5,1984,"Acer Collection, O-98/45-05.","Yes",37,62,0,NA,37.37373737,62.62626263,0,129,3
"178","52474.0","0039524MOR","Acer negundo 'Pseudocalifornicum'","Schulenberg, RF","62V84",8,5,1984,"Acer Collection, S-98/70-80","Yes",0,37,0,NA,0,100,0,129,5
"179","52497.0","0039518MOR","Acer negundo 'Pseudocalifornicum'","Schulenberg, RF","67V84",8,5,1984,"Acer Collection, R-98/95-90","Yes",0,58,0,NA,0,100,0,129,5
"180","52503.0","0039517MOR","Acer negundo 'Rubescens'","Schulenberg, RF","69V84",8,5,1984,"Acer Collection, Q-98/75-75","Yes",0,48,0,NA,0,100,0,129,5
"181","53282.0","0039668MOR","Acer pseudosieboldianum (Pax) Kom.","Stoynoff, N","222V84",18,5,1984,"Acer Collection, V-99/55-15","Yes",0,0,4,NA,0,0,100,139,9
"182","53283.0","0039867MOR","Acer saccharum Marshall","Stoynoff, N","228V84",18,5,1984,"Acer Collection, S-101/15-10","Yes",0,0,46,NA,0,0,100,139,9
"183","53285.0","0039432MOR","Acer ginnala 'Durand Dwarf'","Stoynoff, N","224V84",18,5,1984,"Acer Collection, W-101/75-50.","Yes",0,0,42,NA,0,0,100,139,9
"184","53286.0","0039906MOR","Acer saccharum 'Senecaense'","Stoynoff, N","226V84",18,5,1984,"Acer Collection, A-102/40-45.","Yes",0,0,26,NA,0,0,100,139,9
"185","53287.0","0039588MOR","Acer platanoides L.","Stoynoff, N","227V84",18,5,1984,"Acer Collection, T-102/95-35","Yes",0,0,8,NA,0,0,100,139,9
"186","53288.0","0039962MOR","Acer triflorum Kom.","Stoynoff, N","223V84",18,5,1984,"Acer Collection, V-98/40-65.","Yes",0,0,5,NA,0,0,100,139,9
"187","53289.0","0039405MOR","Acer campestre L.","Stoynoff, N","220V84",18,5,1984,"Acer Collection, T-l00/15-85.","Yes",0,0,17,NA,0,0,100,139,9
"188","53293.0","0039923MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Stoynoff, N","219V84",18,5,1984,"Acer Collection, S-99/70-25","Yes",0,0,22,NA,0,0,100,139,9
"189","53585.0","0039922MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Stoynoff, N","303V84",26,6,1984,"On W side of Administration Building, J-40/area","Yes",0,0,19,NA,0,0,100,178,9
"190","54666.0","0039961MOR","Acer triflorum Kom.","Stoynoff, N","318V84",27,5,1984,"Evaluation Plot, E-96/Area.","Yes",0,0,6,NA,0,0,100,148,9
"191","54748.0","0039650MOR","Acer platanoides 'Superform'","Podrasky, N","424V85",19,4,1985,"Illinois Trees Trail, DD-102/95-70","Yes",1,75,0,NA,1.315789474,98.68421053,0,109,5
"192","54749.0","0039641MOR","Acer platanoides 'Rubrum'","Podrasky, N","423V85",19,4,1985,"Acer Collection, M-100/15-55","Yes",11,71,0,NA,13.41463415,86.58536585,0,109,5
"193","54770.0","0039750MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Ceisel, D","s.n.",26,5,1978,"China Collection, AA-63/50-45.","Yes",73,141,0,NA,34.11214953,65.88785047,0,146,NA
"194","54835.0","0039597MOR","Acer platanoides 'Columnare'","Podrasky, N","422V85",19,4,1985,"Acer Collection, N-100/50-95","Yes",2,38,0,NA,5,95,0,109,5
"195","56386.0","0039425MOR","Acer × freemanii 'Marmo'","Bachtell, KR","s.n.",29,3,1985,"S-10, W side of Lake Marmo near road & bridge.","Yes",11,45,0,NA,19.64285714,80.35714286,0,88,5
"198","65118.0","0039874MOR","Acer saccharum Marshall","Podrasky, N","294V84",21,6,1984,"Near Visitor Center, L-48/65-15","Yes",0,0,34,NA,0,0,100,173,9
"199","65122.0","0039552MOR","Acer palmatum Thunb.","Podrasky, N","202V84",11,6,1984,"Syringa Collection, I-49/40-30","Yes",0,0,4,NA,0,0,100,163,9
"200","65139.0","0040039MOR","Acer tataricum L.","Stoynoff, N","221V84",18,5,1984,"Acer Collection, T-100/25-60.","Yes",0,0,29,NA,0,0,100,139,9
"201","65150.0","0039885MOR","Acer saccharum Marshall","Podrasky, N","387V84",7,8,1984,"Near Visitor Center, L-45/area","Yes",0,0,23,NA,0,0,100,220,9
"202","65192.0","0039434MOR","Acer ginnala var. yezoense Koidz.","Stoynoff, N","225V84",18,5,1984,"Acer Collection, V-101/90-75.","Yes",0,0,10,NA,0,0,100,139,9
"203","67689.0","0039734MOR","Acer rubrum L.","Hess, WJ","739V87",8,4,1987,"Meadow Lake, P-46/90-55.","Yes",40,305,0,NA,11.5942029,88.4057971,0,98,5
"204","67691.0","0039827MOR","Acer rubrum 'Columnare'","Hess, WJ","738V87",8,4,1987,"Near Meadow Lake, O-46/20-75","Yes",18,0,0,NA,100,0,0,98,1
"205","67846.0","0039891MOR","Acer saccharum subsp. grandidentatum (Nutt. ex Torr. & A.Gray) Desmarais","Stoynoff, N","296V84",25,6,1984,"Meadow Lake, O-50/05-55.","Yes",0,0,21,NA,0,0,100,177,9
"206","67999.0","0039419MOR","Acer forrestii Diels","Schulenberg, RF","158V84",23,5,1984,"China Collection, BB-66/22-06.","Yes",0,8,28,NA,0,22.22222222,77.77777778,144,8
"207","68102.0","0039451MOR","Acer platanoides 'Schwedleri'","Podrasky, N","802V87",24,4,1987,"Acer Collection, N-99/55-40","Yes",0,40,4,NA,0,90.90909091,9.090909091,114,5
"208","68103.0","0039455MOR","Acer platanoides 'Schwedleri'","Podrasky, N","803V87",24,4,1987,"Acer Collection, N-99/75-65","Yes",4,75,0,NA,5.063291139,94.93670886,0,114,5
"209","68104.0","0039453MOR","Acer platanoides 'Schwedleri'","Podrasky, N","805V87",24,4,1987,"Acer Collection, M-101/90-50","Yes",0,121,6,NA,0,95.27559055,4.724409449,114,5
"210","68105.0","0039620MOR","Acer platanoides 'Goldsworth Purple'","Podrasky, N","806V87",24,4,1987,"Acer Collection, M-101/50-50","Yes",21,121,0,NA,14.78873239,85.21126761,0,114,5
"211","68106.0","0039576MOR","Acer platanoides L.","Podrasky, N","807V87",24,4,1987,"Acer Collection, M-101/50-00; very wet ground.","Yes",2,176,0,NA,1.123595506,98.87640449,0,114,5
"213","68237.0","0039753MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Stoynoff, N","1297V87",6,7,1987,"Chinese Collection, Z-63/17-71.","Yes",0,0,26,NA,0,0,100,187,9
"214","68239.0","0039754MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Stoynoff, N","1298V87",6,7,1987,"Chinese Collection, Z-63/32-80.","Yes",0,0,37,NA,0,0,100,187,9
"215","68482.0","0039442MOR","Acer griseum (Franch.) Pax","Winter, K","883V87",30,4,1987,"M-51/90-60 south of Meadow Lake.","Yes",1,14,0,NA,6.666666667,93.33333333,0,120,5
"216","68577.0","0039543MOR","Acer palmatum Thunb.","Deal, G","832V87",28,4,1987,"Syringa Collection, I-49/40-30","Yes",13,241,0,NA,5.118110236,94.88188976,0,118,5
"217","69924.0","0039558MOR","Acer pensylvanicum L.","Hess, WJ","964V87",8,5,1987,"Appalachian, BB-73/60-11","Yes",0,96,0,NA,0,100,0,128,5
"218","69928.0","0039547MOR","Acer pensylvanicum L.","Hess, WJ","963V87",8,5,1987,"Appalachian, BB-73/58-30","Yes",0,41,0,NA,0,100,0,128,5
"219","70159.0","0039811MOR","Acer triflorum Kom.","Packard, S","1601V87",1,9,1987,"Hedge Garden, H-43/47-39","Yes",0,0,15,NA,0,0,100,244,9
"220","70326.0","0039718MOR","Acer rubrum L.","Podrasky, N","792V87",23,4,1987,"Meadow Lake, N-52/Area, Illinois Tree Trail.","Yes",0,17,25,NA,0,40.47619048,59.52380952,113,7
"221","71588.0","0070904MOR","Acer japonicum Thunb.","Podrasky, N","1053V87",27,5,1987,"Frost Hill, [E-60/90-20]","Yes",0,0,1,NA,0,0,100,147,9
"222","71592.0","0039443MOR","Acer griseum (Franch.) Pax","Podrasky, N","1056V87",27,5,1987,"E-62/05-20 on Frost Hill.","Yes",0,0,28,NA,0,0,100,147,9
"223","71593.0","0039444MOR","Acer griseum (Franch.) Pax","Podrasky, N","1057V87",27,5,1987,"E-61/40-80 on Frost hill.","Yes",0,0,8,NA,0,0,100,147,9
"224","71595.0","0039437MOR","Acer griseum (Franch.) Pax","Podrasky, N","1059V87",27,5,1987,"E-62/50-30 on Frost Hill.","Yes",0,0,24,NA,0,0,100,147,9
"225","71599.0","0039364MOR","Acer campestre var. austriacum (Tratt.) DC.","Podrasky, N","1063V87",27,5,1987,"F-63/05-65 on Frost Hill.","Yes",0,0,7,NA,0,0,100,147,9
"227","72893.0","0039714MOR","Acer rubrum L.","Podrasky, N","12V84",26,4,1984,"Diversity, N-57/13-15.","Yes",4,250,0,NA,1.57480315,98.42519685,0,117,5
"228","72894.0","0039736MOR","Acer rubrum L.","Podrasky, N","11V84",25,4,1984,"Oleaceae Coll., Q-38/75-60.","Yes",0,166,0,NA,0,100,0,116,5
"230","74009.0","0039497MOR","Acer miyabei Maxim.","Podrasky, N","1829V88",5,5,1988,"Godshalk Meadow, M-29/Area","Yes",18,23,0,NA,43.90243902,56.09756098,0,126,3
"231","74075.0","0039593MOR","Acer platanoides L.","Bunyan, T","1628V87",13,10,1987,"Aceraceae Collection, M-101/50-00","Yes",0,0,10,NA,0,0,100,286,9
"232","74119.0","0039541MOR","Acer palmatum Thunb.","Hess, WJ","1213V87",19,6,1987,"Syringa Collection, I-49/40-30","Yes",0,0,10,NA,0,0,100,170,9
"233","74184.0","0039870MOR","Acer saccharum Marshall","Podrasky, N","1332V87",8,7,1987,"Near Visitor Center, N-46/09-18","Yes",0,0,12,NA,0,0,100,189,9
"234","74547.0","0039619MOR","Acer platanoides 'Goldsworth Purple'","Bunyan, T","1629V87",13,10,1987,"Acer Collection, M-101/50-50","Yes",0,0,7,NA,0,0,100,286,9
"235","74774.0","0039755MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Podrasky, N","1232V87",23,6,1987,"Meadow Lake, S-47/00-50.","Yes",0,0,11,NA,0,0,100,174,9
"236","74878.0","0039649MOR","Acer platanoides 'Superform'","Podrasky, N","1692V88",14,4,1988,"Near Parking Lot #2, N-56/Area","Yes",5,64,0,NA,7.246376812,92.75362319,0,105,5
"239","74945.0","0039452MOR","Acer platanoides 'Schwedleri'","Bucha, L","1627V87",13,10,1987,"Acer Collection, N-99/55-40","Yes",0,0,11,NA,0,0,100,286,9
"240","74946.0","0039454MOR","Acer platanoides 'Schwedleri'","Bucha, L","1626V87",13,10,1987,"Acer Collection, N-99/75-65","Yes",0,0,6,NA,0,0,100,286,9
"241","75199.0","0039898MOR","Acer saccharum subsp. grandidentatum (Nutt. ex Torr. & A.Gray) Desmarais","Podrasky, N","1890V88",12,5,1988,"Meadow Lake, O-50/05-55.","Yes",0,0,23,NA,0,0,100,133,9
"242","76592.0","0039488MOR","Acer miyabei Maxim.","Podrasky, N","1286V87",2,7,1987,"Acer Collection, Q-99/15-40","Yes",0,0,9,NA,0,0,100,183,9
"243","76593.0","0039492MOR","Acer miyabei Maxim.","Podrasky, N","1285V87",2,7,1987,"Acer Collection, Q-99/40-10","Yes",0,0,5,NA,0,0,100,183,9
"244","76599.0","0039757MOR","Acer tataricum subsp. ginnala (Maxim.) Wesm.","Podrasky, N","1274V87",2,7,1987,"Forest Road, M-86/Area.","Yes",0,0,19,NA,0,0,100,183,9
"245","76850.0","0039495MOR","Acer miyabei Maxim.","Podrasky, N","1523V87",10,8,1987,"Along DuPage River, K-28/55-00","Yes",0,0,16,NA,0,0,100,222,9
"246","77009.0","0039381MOR","Acer campestre subsp. leiocarpum (Wallr.) Pax","Packard, S","1613V87",22,9,1987,"Tree Evaluation Plot, Row 15; E-96/Area","Yes",0,0,6,NA,0,0,100,265,9
"247","77010.0","0039380MOR","Acer campestre subsp. leiocarpum (Wallr.) Pax","Packard, S","1614V87",22,9,1987,"Tree Evaluation Plot, Row 15; E-96/Area","Yes",0,0,16,NA,0,0,100,265,9
"248","77033.0","0039501MOR","Acer miyabei Maxim.","Podrasky, N","1522V87",10,8,1987,"Godshalk Meadow, L-30/00-20","Yes",0,0,21,NA,0,0,100,222,9
"249","77308.0","0039970MOR","Acer truncatum Bunge","Podrasky, N","1734V88",21,4,1988,"Acer Collection, N-96/10-30.","Yes",23,83,0,NA,21.69811321,78.30188679,0,112,NA
"250","77435.0","0039780MOR","Acer saccharinum L.","Podrasky, N","1763V88",28,4,1988,"Acer Collection, N-97/15-80.","Yes",0,0,13,NA,0,0,100,119,9
"251","77446.0","0039595MOR","Acer platanoides 'Columnare'","Podrasky, N","1762V88",28,4,1988,"Acer Collection, N-100/30-80","Yes",0,44,0,NA,0,100,0,119,5
"252","77464.0","0039871MOR","Acer saccharum Marshall","Podrasky, N","1752V88",28,4,1988,"Acer Collection, S-101/15-10","Yes",2,115,0,NA,1.709401709,98.29059829,0,119,5
"253","77465.0","0039795MOR","Acer saccharinum 'Pendulum'","Podrasky, N","1764V88",28,4,1988,"Forest Road, Spikerush Marsh, N-94/55-95.","Yes",0,0,40,NA,0,0,100,119,9
"254","77466.0","0039618MOR","Acer platanoides 'Goldsworth Purple'","Podrasky, N","1760V88",28,4,1988,"Acer Collection, L-101/50-10","Yes",18,56,0,NA,24.32432432,75.67567568,0,119,NA
"255","77467.0","0039596MOR","Acer platanoides 'Columnare'","Podrasky, N","1761V88",28,4,1988,"Acer Collection, N-100/50-95","Yes",6,76,0,NA,7.317073171,92.68292683,0,119,5
"256","77490.0","0039882MOR","Acer saccharum Marshall","Podrasky, N","1753V88",28,4,1988,"Acer Collection, R-101/10-10","Yes",3,108,0,NA,2.702702703,97.2972973,0,119,5
"257","77491.0","0039506MOR","Acer mono Maxim.","Podrasky, N","1754V88",28,4,1988,"Acer Collection, P-100/55-95","Yes",20,176,0,NA,10.20408163,89.79591837,0,119,5
"258","77492.0","0039505MOR","Acer mono Maxim.","Podrasky, N","1755V88",28,4,1988,"Acer Collection, P-101/75-10","Yes",32,14,0,NA,69.56521739,30.43478261,0,119,2
"259","77493.0","0039988MOR","Acer","Podrasky, N","1756V88",28,4,1988,"Acer Collection, O-101/65-00.","Yes",25,96,0,NA,20.66115702,79.33884298,0,119,NA
"260","77494.0","0039585MOR","Acer platanoides 'Chas. F. Irish'","Podrasky, N","1757V88",28,4,1988,"Acer Collection, O-102/15-50","Yes",0,40,0,NA,0,100,0,119,5
"261","77495.0","0039566MOR","Acer platanoides L.","Podrasky, N","1758V88",28,4,1988,"Acer Collection, N-101/75-75","Yes",22,135,0,NA,14.01273885,85.98726115,0,119,5
"262","77496.0","0039631MOR","Acer platanoides 'Rubrum'","Podrasky, N","1759V88",28,4,1988,"Acer Collection, M-100/15-55","Yes",5,131,0,NA,3.676470588,96.32352941,0,119,5
"263","77597.0","0039607MOR","Acer platanoides 'Erectum'","Podrasky, N","1736V88",21,4,1988,"Acer Collection, O-101/10-40","Yes",5,104,0,NA,4.587155963,95.41284404,0,112,5
"264","77598.0","0039971MOR","Acer truncatum Bunge","Podrasky, N","1735V88",21,4,1988,"Acer Collection, N-97/60-30.","Yes",52,97,0,NA,34.89932886,65.10067114,0,112,NA
"265","77599.0","0039570MOR","Acer platanoides L.","Hess, WJ","1137V88",26,4,1988,"Display Area, B-45","Yes",0,85,0,NA,0,100,0,117,5
"266","77628.0","0039839MOR","Acer rubrum 'Silhouette'","Podrasky, N","1659V88",5,4,1988,"Administration Building, N-45/area","Yes",3,97,0,NA,3,97,0,96,5
"267","77681.0","0039382MOR","Acer campestre subsp. leiocarpum (Wallr.) Pax","Packard, S","1615V87",22,9,1987,"Tree Evaluation Plot, Row 15; E-96/Area","Yes",0,0,7,NA,0,0,100,265,9
"268","77684.0","0039719MOR","Acer rubrum L.","Podrasky, N","1654V88",5,4,1988,"Display, B-48/Area.","Yes",4,126,0,NA,3.076923077,96.92307692,0,96,5
"269","78177.0","0039683MOR","Acer rubrum L.","Hess, WJ","1851V88",10,5,1988,"Pinaceae Collection, J-54/00-10","Yes",0,0,148,NA,0,0,100,131,9
"270","78240.0","0039790MOR","Acer saccharinum 'Laciniatum'","Podrasky, N","1770V88",28,4,1988,"Acer Collection, O-96/45-90.","Yes",0,0,19,NA,0,0,100,119,9
"271","78241.0","0039787MOR","Acer saccharinum 'Beebe Cutleaf Weeping'","Podrasky, N","1771V88",28,4,1988,"Acer Collection, O-97/80-10.","Yes",0,3,27,NA,0,10,90,119,8
"272","78264.0","0039778MOR","Acer saccharinum L.","Podrasky, N","1772V88",28,4,1988,"Acer Collection, 0-97/70-50.","Yes",0,3,22,NA,0,12,88,119,8
"273","78310.0","0039496MOR","Acer miyabei Maxim.","Podrasky, N","1831V88",5,5,1988,"Alnus Collection, L-28/20-45","Yes",23,126,0,NA,15.43624161,84.56375839,0,126,5
