"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit","doy","Phenophase"
"1419","190693.0","0101501MOR","Acer nigrum F.Michx.","Dorrell, J","17809v23",13,4,2023,"Midwest East Section: P-71/42-57","Yes",90,13,0,NA,87.37864078,12.62135922,0,103,2
"1420","190745.0","0102074MOR","Acer nigrum F.Michx.","Dorrell, J","17911v23",25,5,2023,"Midwest east section: O-67/97-20","Yes",0,0,13,NA,0,0,100,145,9
"1421","190865.0","0102609MOR","Acer spicatum Lam.","Dorrell, J","17967v23",15,6,2023,"Eastern North America: Z-75/21-10","Yes",0,0,34,NA,0,0,100,166,9
"1424","191013.0","0102915MOR","Acer monspessulanum L.","Potenberg, K","18002v23",29,6,2023,"Acer: X-101/03-98","Yes",0,0,8,NA,0,0,100,180,9
"1426","191180.0","0102844MOR","Acer saccharinum L.","Potenberg, K","17801v23",6,4,2023,"China: Landscape Planting: V-61/93-35","Yes",16,33,0,NA,32.65306122,67.34693878,0,96,NA
"1427","191181.0","0102845MOR","Acer saccharinum 'Laciniatum'","Potenberg, K","17800v23",6,4,2023,"China: Landscape Planting: V-61/01-31","Yes",4,104,0,NA,3.703703704,96.2962963,0,96,5
"1428","191213.0","0102909MOR","Acer rubrum 'Frank Jr.'","Potenberg, K","17832v23",20,4,2023,"Visitor Center Parking: West Side North: S-47/16-41","Yes",0,78,29,NA,0,72.89719626,27.10280374,110,6
"1429","192034.0","0103372MOR","Acer mono Maxim.","Potenberg, K","18324v24",4,4,2024,"Acer: Q-99/90-62","Yes",15,20,0,NA,42.85714286,57.14285714,0,95,3
"1430","192035.0","0103373MOR","Acer negundo var. violaceum Booth ex G.Kirchn.","Potenberg, K","18326v24",4,4,2024,"Acer: P-98/90-00","Yes",116,235,0,NA,33.04843305,66.95156695,0,95,NA
"1431","192036.0","0103374MOR","Acer triflorum Kom.","Potenberg, K","18327v24",4,4,2024,"Visitors Center, raised entrance bed: L-45/83-28","Yes",0,46,0,NA,0,100,0,95,5
"1432","192040.0","0103378MOR","Acer tegmentosum 'Joe Witt'","Hartley, C.","18331v24",11,4,2024,"Arbor Court: J-46/79-61","Yes",0,61,0,NA,0,100,0,102,5
"1433","192062.0","0103402MOR","Acer negundo var. violaceum Booth ex G.Kirchn.","Potenberg, K","18322v24",4,4,2024,"Acer: S-102/49-89","Yes",147,62,0,NA,70.33492823,29.66507177,0,95,2
"1434","192066.0","0103405MOR","Acer tschonoskii Maxim.","Potenberg, K","18323v24",4,4,2024,"Acer: Q-100/86-96","Yes",7,42,0,NA,14.28571429,85.71428571,0,95,5
"1435","192084.0","0103441MOR","Acer rubrum 'Frank Jr.'","Dorrell, J","18307v24",21,3,2024,"Visitors Center Parking: southwest: R-46/32-32","Yes",0,315,8,NA,0,97.52321981,2.476780186,81,5
"1436","192086.0","0103443MOR","Acer × freemanii 'Jeffersred'","Dorrell, J","18305v24",21,3,2004,"Visitor Center Parking - northeast: R-49/90-18","Yes",0,4,42,NA,0,8.695652174,91.30434783,81,9
"1437","192096.0","0103417MOR","Acer rubrum 'Frank Jr.'","Dorrell, J","18378v24",9,5,2024,"Firefly Pond: F-42-04-14","Yes",0,0,15,NA,0,0,100,130,9
"1439","192468.0","0103539MOR","Acer × freemanii 'DTR 102'","Dorrell, J","18382v24",9,5,2024,"Admin Bldg - Library - west: K-40/61-61","Yes",0,0,15,NA,0,0,100,130,9
"1446","194662.0","0109305MOR","Acer saccharum Marshall","Chen, S","18820v25",8,5,2025,"Acer: R-101/61-38","Yes",0,0,17,NA,0,0,100,128,9
"1447","194663.0","0109304MOR","Acer triflorum Kom.","Chen, S","18819v25",8,5,2025,"Acer: R-101/29-18","Yes",0,0,9,NA,0,0,100,128,9
"1448","194664.0","0109303MOR","Acer tschonoskii Maxim.","Chen, S","18818v25",8,5,2025,"Acer: Q-100/86-96","Yes",0,0,53,NA,0,0,100,128,9
